timestamp,temperature_c,humidity_pct,pressure_hpa
0h 0m 3s,21.43,42.31,976.52
0h 5m 3s,21.79,41.72,976.52
0h 10m 3s,21.57,42.08,976.52
0h 15m 3s,21.33,42.49,976.43
0h 20m 3s,21.20,42.61,976.32
0h 25m 3s,21.05,43.00,976.40
0h 30m 3s,21.15,43.59,976.45
0h 35m 3s,21.24,44.01,976.45
0h 40m 3s,21.29,44.33,976.51
0h 45m 3s,21.33,44.60,976.29
0h 50m 3s,21.38,44.76,976.21
0h 55m 3s,21.39,44.55,976.20
1h 0m 3s,21.28,44.07,976.31
1h 5m 3s,21.15,43.84,976.21
1h 10m 3s,21.06,43.57,976.04
1h 15m 3s,20.95,44.10,975.97
1h 20m 3s,21.05,44.40,975.93
1h 25m 3s,21.11,44.44,975.77
1h 30m 3s,21.18,44.80,975.66
1h 35m 3s,21.22,45.00,975.81
1h 40m 3s,21.27,45.19,975.69
1h 45m 3s,21.31,45.32,975.81
1h 50m 3s,21.33,45.46,976.00
1h 55m 3s,21.36,45.56,976.10
2h 0m 3s,21.39,45.58,976.08
2h 5m 3s,21.42,45.64,976.07
2h 10m 3s,21.44,45.71,976.26
2h 15m 3s,21.43,46.28,976.12
2h 20m 3s,21.28,45.69,976.26
2h 25m 3s,21.16,45.19,976.30
2h 30m 3s,21.04,44.78,976.43
2h 35m 3s,20.94,45.07,976.56
2h 40m 3s,21.01,45.37,976.42
2h 45m 3s,21.10,45.45,976.37
2h 50m 3s,21.15,45.57,976.28
2h 55m 3s,21.20,45.60,976.13
3h 0m 3s,21.23,45.68,975.85
3h 5m 3s,21.27,45.68,975.87
3h 10m 3s,21.30,45.75,975.96
3h 15m 3s,21.33,45.78,975.56
3h 20m 3s,21.36,45.88,975.47
3h 25m 3s,21.38,45.96,975.49
3h 30m 3s,21.39,46.12,975.33
3h 35m 3s,21.41,46.27,975.46
3h 40m 3s,21.45,46.33,975.23
3h 45m 3s,21.45,46.55,975.09
3h 50m 3s,21.47,46.59,975.10
3h 55m 3s,21.49,46.69,974.91
4h 0m 3s,21.50,46.76,974.57
4h 5m 3s,21.52,46.95,974.54
4h 10m 3s,21.52,47.07,974.63
4h 15m 3s,21.54,47.00,974.85
4h 20m 3s,21.54,47.03,974.68
4h 25m 3s,21.58,47.13,974.75
4h 30m 3s,21.59,47.20,974.00
4h 35m 3s,21.59,47.11,974.55
4h 40m 3s,21.61,47.22,973.83
4h 45m 3s,21.62,47.37,974.11
4h 50m 3s,21.64,47.27,973.87
4h 55m 3s,21.64,47.38,973.71
5h 0m 3s,21.64,47.26,973.60
5h 5m 3s,21.65,47.25,973.53
5h 10m 3s,21.65,47.20,973.33
5h 15m 3s,21.66,47.42,973.28
5h 20m 3s,21.65,47.25,973.20
5h 25m 3s,21.67,47.34,973.17
5h 30m 3s,21.66,47.50,972.96
5h 35m 3s,21.68,47.51,972.92
5h 40m 3s,21.69,47.55,972.86
5h 45m 3s,21.70,47.54,972.85
5h 50m 3s,21.71,47.56,972.76
5h 55m 3s,21.71,47.50,972.73
6h 0m 3s,21.71,47.57,972.62
6h 5m 3s,21.71,47.65,972.39
6h 10m 3s,21.72,47.75,972.45
6h 15m 3s,21.72,47.70,972.33
6h 20m 3s,21.73,47.68,972.33
6h 25m 3s,21.73,47.84,972.22
6h 30m 3s,21.74,47.74,972.11
6h 35m 3s,21.74,47.77,972.08
6h 40m 3s,21.75,47.76,972.16
6h 45m 3s,21.76,47.81,971.91
6h 50m 3s,21.77,49.20,971.96
6h 55m 3s,21.78,48.53,971.90
7h 0m 3s,21.79,48.47,971.90
7h 5m 3s,21.80,48.72,971.68
7h 10m 3s,21.79,48.41,971.73
7h 15m 3s,21.85,50.94,971.69
7h 20m 3s,21.76,50.04,971.76
7h 25m 3s,21.66,49.03,971.75
7h 30m 3s,21.51,48.25,971.45
7h 35m 3s,21.42,47.58,971.28
7h 40m 3s,21.33,47.02,971.07
7h 45m 3s,21.22,46.41,970.95
7h 50m 3s,21.01,46.31,970.81
7h 55m 3s,21.02,46.67,970.54
8h 0m 3s,21.14,46.98,970.37
8h 5m 3s,21.19,48.20,970.19
8h 10m 3s,21.34,48.49,969.84
8h 15m 3s,21.44,49.00,972.03
8h 20m 3s,21.51,49.03,972.63
8h 25m 3s,21.55,49.08,973.60
8h 30m 3s,21.58,49.20,973.07
8h 35m 3s,21.60,49.27,972.99
8h 40m 3s,21.61,49.49,972.93
8h 45m 3s,21.62,49.77,973.19
8h 50m 3s,21.63,49.69,973.85
8h 55m 3s,21.62,49.82,973.93
9h 0m 3s,21.63,49.83,973.67
9h 5m 3s,21.60,50.00,973.60
9h 10m 3s,21.59,50.14,973.70
9h 15m 3s,21.59,50.24,973.63
9h 20m 3s,21.58,50.31,973.60
9h 25m 3s,21.58,50.32,973.46
9h 30m 3s,21.57,50.35,973.15
9h 35m 3s,21.56,50.37,973.32
9h 40m 3s,21.56,50.39,973.33
9h 45m 3s,21.54,50.43,973.13
9h 50m 3s,21.54,50.23,972.98
9h 55m 3s,21.53,50.28,973.04
10h 0m 3s,21.54,50.45,973.11
10h 5m 3s,21.52,50.41,973.39
10h 10m 3s,21.51,50.25,973.55
10h 15m 3s,21.51,50.10,973.60
10h 20m 3s,21.48,50.07,973.89
10h 25m 3s,21.48,50.18,974.12
10h 30m 3s,21.47,50.16,974.03
10h 35m 3s,21.46,49.99,973.90
10h 40m 3s,21.46,49.99,974.01
10h 45m 3s,21.47,50.02,974.00
10h 50m 3s,21.47,49.94,973.98
10h 55m 3s,21.48,49.90,973.92
11h 0m 3s,21.48,49.86,973.99
11h 5m 3s,21.49,49.78,974.15
11h 10m 3s,21.48,49.78,974.46
11h 15m 3s,21.46,49.72,974.47
11h 20m 3s,21.47,49.86,974.25
11h 25m 3s,21.46,49.74,974.16
11h 30m 3s,21.46,49.68,974.08
11h 35m 3s,21.46,49.71,974.18
11h 40m 3s,21.47,49.80,974.36
11h 45m 3s,21.47,49.61,974.37
11h 50m 3s,21.47,49.68,974.56
11h 55m 3s,21.46,49.68,974.70
12h 0m 3s,21.46,49.78,974.59
12h 5m 3s,21.45,49.74,974.66
12h 10m 3s,21.47,49.83,974.56
12h 15m 3s,21.48,49.75,974.62
12h 20m 3s,21.49,49.73,974.66
12h 25m 3s,21.50,49.69,974.67
12h 30m 3s,21.50,49.59,974.30
12h 35m 3s,21.52,49.68,974.16
12h 40m 3s,21.54,49.63,974.38
12h 45m 3s,21.55,49.68,974.19
12h 50m 3s,21.55,49.64,974.18
12h 55m 3s,21.57,49.62,974.24
13h 0m 3s,21.57,49.64,974.20
13h 5m 3s,21.57,49.59,974.21
13h 10m 3s,21.57,49.59,974.15
13h 15m 3s,21.58,49.58,974.07
13h 20m 3s,21.57,49.58,974.05
13h 25m 3s,21.57,49.65,974.01
13h 30m 3s,21.58,49.59,974.13
13h 35m 3s,21.59,49.58,974.05
13h 40m 3s,21.58,49.71,973.98
13h 45m 3s,21.57,49.59,973.93
13h 50m 3s,21.57,49.60,973.84
13h 55m 3s,21.56,49.63,973.89
14h 0m 3s,21.56,49.79,973.96
14h 5m 3s,21.56,49.79,973.96
14h 10m 3s,21.56,49.79,974.20
14h 15m 3s,21.55,50.06,974.09
14h 20m 3s,21.56,50.16,974.35
14h 25m 3s,21.56,50.22,974.47
14h 30m 3s,21.55,50.38,974.18
14h 35m 3s,21.57,50.80,974.21
14h 40m 3s,21.56,50.72,974.55
14h 45m 3s,21.55,50.96,974.81
14h 50m 3s,21.55,51.13,975.03
14h 55m 3s,21.55,51.13,975.20
15h 0m 3s,21.53,51.28,975.38
15h 5m 3s,21.53,51.24,975.49
15h 10m 3s,21.52,51.51,975.74
15h 15m 3s,21.51,51.58,975.85
15h 20m 3s,21.48,51.52,976.19
15h 25m 3s,21.46,51.53,976.16
15h 30m 3s,21.45,51.48,976.15
15h 35m 3s,21.43,51.47,976.01
15h 40m 3s,21.41,51.44,976.11
15h 45m 3s,21.39,51.46,976.30
15h 50m 3s,21.38,51.41,976.29
15h 55m 3s,21.36,51.42,976.71
16h 0m 3s,21.34,51.42,976.60
16h 5m 3s,21.32,51.37,976.68
16h 10m 3s,21.29,51.34,976.87
16h 15m 3s,21.28,51.29,976.96
16h 20m 3s,21.24,51.28,977.11
16h 25m 3s,21.23,51.29,977.32
16h 30m 3s,21.22,51.25,977.31
16h 35m 3s,21.20,51.20,977.41
16h 40m 3s,21.16,51.20,977.55
16h 45m 3s,21.14,51.27,977.79
16h 50m 3s,21.13,51.34,977.57
16h 55m 3s,21.12,51.43,977.48
17h 0m 3s,21.10,51.47,977.54
17h 5m 3s,21.10,51.59,977.53
17h 10m 3s,21.04,51.77,977.82
17h 15m 3s,21.13,50.88,978.05
17h 20m 3s,21.26,50.45,978.35
17h 25m 3s,21.42,50.04,978.69
17h 30m 3s,21.49,49.81,978.77
17h 35m 3s,21.52,49.51,979.13
17h 40m 3s,21.52,49.39,978.83
17h 45m 3s,21.50,49.47,979.02
17h 50m 3s,21.47,49.44,979.05
17h 55m 3s,21.44,49.41,979.30
18h 0m 3s,21.40,49.39,979.46
18h 5m 3s,21.36,49.34,979.98
18h 10m 3s,21.32,49.36,980.13
18h 15m 3s,21.27,49.31,980.43
18h 20m 3s,21.23,49.29,980.30
18h 25m 3s,21.18,49.27,980.39
18h 30m 3s,21.15,49.18,980.75
18h 35m 3s,21.25,48.85,980.99
18h 40m 3s,21.34,48.62,981.34
18h 45m 3s,21.44,48.33,981.40
18h 50m 3s,21.47,48.12,981.54
18h 55m 3s,21.52,47.92,981.60
19h 0m 3s,21.52,47.87,981.85
19h 5m 3s,21.52,47.95,982.18
19h 10m 3s,21.50,48.10,982.13
19h 15m 3s,21.48,48.04,982.07
19h 20m 3s,21.43,48.30,982.21
19h 25m 3s,21.42,48.34,982.30
19h 30m 3s,21.38,48.30,982.45
19h 35m 3s,21.33,48.30,982.54
19h 40m 3s,21.28,48.23,982.74
19h 45m 3s,21.22,48.25,982.95
19h 50m 3s,21.15,48.31,983.14
19h 55m 3s,21.11,48.44,983.31
20h 0m 3s,21.09,48.46,983.52
20h 5m 3s,21.05,48.53,983.75
20h 10m 3s,21.01,48.61,983.96
20h 15m 3s,20.99,48.62,984.13
20h 20m 3s,20.95,48.69,984.34
20h 25m 3s,20.91,48.75,984.42
20h 30m 3s,20.88,48.74,984.36
20h 35m 3s,20.84,48.84,984.32
20h 40m 3s,20.81,48.83,984.38
20h 45m 3s,20.78,48.83,984.70
20h 50m 3s,20.74,48.94,984.81
20h 55m 3s,20.72,48.80,984.80
21h 0m 3s,20.69,48.74,984.87
21h 5m 3s,20.65,48.77,985.10
21h 10m 3s,20.61,48.81,985.28
21h 15m 3s,20.56,48.75,985.34
21h 20m 3s,20.66,48.62,985.44
21h 25m 3s,20.74,48.57,985.70
21h 30m 3s,20.82,48.48,985.66
21h 35m 3s,20.94,48.31,985.68
21h 40m 3s,20.98,48.15,985.67
21h 45m 3s,21.00,47.99,985.81
21h 50m 3s,21.00,47.88,985.92
21h 55m 3s,20.99,47.88,986.09
22h 0m 3s,20.99,47.81,986.01
22h 5m 3s,20.98,47.93,986.13
22h 10m 3s,20.93,48.04,986.23
22h 15m 3s,20.90,48.07,986.34
22h 20m 3s,20.85,48.15,986.55
22h 25m 3s,20.80,48.20,986.57
22h 30m 3s,20.74,48.28,986.66
22h 35m 3s,20.70,48.29,986.83
22h 40m 3s,20.64,48.32,986.76
22h 45m 3s,20.59,48.34,986.89
22h 50m 3s,20.55,48.37,987.13
22h 55m 3s,20.51,48.38,987.28
23h 0m 3s,20.45,48.42,987.41
23h 5m 3s,20.42,48.41,987.80
23h 10m 3s,20.38,48.40,987.87
23h 15m 3s,20.41,48.10,987.82
23h 20m 3s,20.43,48.01,987.94
23h 25m 3s,20.51,47.78,987.93
23h 30m 3s,20.60,47.59,987.86
23h 35m 3s,20.64,47.34,987.85
23h 40m 3s,20.64,47.29,987.97
23h 45m 3s,20.63,47.22,987.88
23h 50m 3s,20.60,47.26,988.09
