timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,24.9,20.7,986.7,0.0000
0h 10m 0s,25.1,19.8,986.7,0.0000
0h 15m 0s,25.0,19.5,986.6,0.0000
0h 20m 0s,25.0,19.9,986.7,0.0000
0h 25m 0s,25.1,19.3,986.7,0.0000
0h 30m 0s,25.0,18.9,986.8,0.0000
0h 35m 0s,25.0,19.2,986.7,0.0000
0h 40m 0s,24.9,18.9,986.6,0.0000
0h 45m 0s,24.8,19.3,986.6,0.0000
0h 50m 0s,24.7,19.1,986.6,0.0000
0h 55m 0s,24.7,19.7,986.7,0.0000
1h 0m 0s,24.8,20.3,986.6,0.0000
1h 5m 0s,24.7,20.3,986.6,0.0000
1h 10m 0s,24.6,20.6,986.8,0.0000
1h 15m 0s,24.6,18.4,986.7,0.0000
1h 20m 0s,24.5,19.7,986.8,0.0000
1h 25m 0s,24.6,19.0,986.9,0.0000
1h 30m 0s,24.5,18.8,986.9,0.0000
1h 35m 0s,24.4,19.2,986.9,0.0000
1h 40m 0s,24.2,18.4,986.8,0.0000
1h 45m 0s,24.1,19.0,986.8,0.0000
1h 50m 0s,24.0,20.5,986.7,0.0000
1h 55m 0s,23.9,19.9,986.7,0.0000
2h 0m 0s,23.6,19.8,986.7,0.0000
2h 5m 0s,23.4,20.0,986.8,0.0000
2h 10m 0s,23.3,20.1,986.9,0.0000
2h 15m 0s,23.1,20.5,987.0,0.0000
2h 20m 0s,22.8,20.5,987.0,0.0000
2h 25m 0s,22.6,20.6,987.0,0.0000
2h 30m 0s,22.4,21.7,987.0,0.0000
2h 35m 0s,22.2,21.8,987.0,0.0000
2h 40m 0s,22.0,22.2,987.1,0.0000
2h 45m 0s,21.8,23.5,987.3,0.0000
2h 50m 0s,21.7,23.8,987.3,0.0000
2h 55m 0s,21.5,24.4,987.4,0.0000
3h 0m 0s,21.3,24.9,987.5,0.0000
3h 5m 0s,21.1,25.8,987.6,0.0000
3h 10m 0s,21.0,27.0,987.6,0.0000
3h 15m 0s,20.8,27.7,987.6,0.0000
3h 20m 0s,20.6,29.1,987.7,0.0000
3h 25m 0s,20.4,30.2,987.9,0.0000
3h 30m 0s,20.1,31.1,987.9,0.0000
3h 35m 0s,20.0,31.4,987.9,0.0000
3h 40m 0s,19.8,27.0,988.1,0.0000
3h 45m 0s,19.7,25.0,988.2,0.0000
3h 50m 0s,19.6,24.8,988.3,0.0000
3h 55m 0s,19.5,25.6,988.5,0.0000
4h 0m 0s,19.3,25.8,988.4,0.0000
4h 5m 0s,19.1,25.3,988.4,0.0000
4h 10m 0s,19.0,25.3,988.5,0.0000
4h 15m 0s,18.8,25.6,988.5,0.0000
4h 20m 0s,18.6,24.5,988.5,0.0000
4h 25m 0s,18.5,25.0,988.7,0.0000
4h 30m 0s,18.4,24.9,988.9,0.0000
4h 35m 0s,18.3,25.8,988.9,0.0000
4h 40m 0s,19.0,25.1,989.0,0.0000
4h 45m 0s,18.0,26.4,989.0,0.0000
4h 50m 0s,18.6,25.6,988.9,0.0000
4h 55m 0s,18.4,25.9,988.9,0.0000
5h 0m 0s,18.4,25.6,989.0,0.0000
5h 5m 0s,18.4,25.9,989.1,0.0000
5h 10m 0s,18.5,25.7,989.2,0.0000
5h 15m 0s,18.5,25.5,989.2,0.0000
5h 20m 0s,18.5,25.5,989.2,0.0000
5h 25m 0s,18.5,25.6,989.2,0.0000
5h 30m 0s,18.5,25.5,989.5,0.0000
5h 35m 0s,18.0,26.5,989.5,0.0000
5h 40m 0s,18.2,26.1,989.5,0.0000
5h 45m 0s,18.2,25.9,989.4,0.0000
5h 50m 0s,18.2,25.6,989.4,0.0000
5h 55m 0s,18.1,26.4,989.4,0.0000
6h 0m 0s,18.0,26.5,989.6,0.0000
6h 5m 0s,17.9,26.5,989.6,0.0000
6h 10m 0s,17.7,26.7,989.7,0.0000
6h 15m 0s,17.6,26.7,989.8,0.0000
6h 20m 0s,17.4,27.6,989.8,0.0000
6h 25m 0s,17.4,27.7,989.8,0.0000
6h 30m 0s,17.2,27.7,989.9,0.0000
